Student_ID,Sleep_Hours,Coffee_Cups,Study_Hours,Exam_Score
1,8.2,1.0,1.5,43.1
2,6.2,2.0,6.5,84.4
3,7.7,1.0,4.1,64.9
4,5.9,3.0,6.1,71.8
5,4.9,3.0,7.8,92.6
6,5.8,2.0,4.8,71.9
7,4.3,2.0,4.5,67.9
8,7.0,1.0,1.5,38.1
9,7.5,1.0,2.9,65.0
10,6.6,1.0,4.5,75.6
11,6.4,1.0,5.8,84.5
12,5.6,3.0,6.6,88.1
13,7.3,1.0,3.7,58.4
14,8.9,0.0,1.5,51.2
15,6.8,1.0,3.0,55.4
16,5.1,3.0,7.4,100.0
17,6.5,1.0,2.5,54.4
18,7.7,1.0,4.2,73.4
19,5.3,4.0,7.5,83.2
20,8.8,0.0,1.2,41.3
21,7.6,1.0,5.2,73.2
22,6.0,4.0,7.7,98.1
23,7.7,1.0,2.6,61.5
24,7.2,2.0,4.8,75.3
25,4.2,3.0,7.4,80.7
26,8.4,1.0,1.9,60.1
27,6.8,2.0,4.7,67.3
28,4.6,3.0,6.3,93.8
29,7.2,3.0,5.7,91.1
30,6.3,2.0,4.3,75.1
31,8.3,0.0,2.4,62.7
32,6.5,2.0,4.4,63.2
33,8.0,2.0,3.6,80.7
34,7.9,2.0,4.3,71.4
35,6.5,1.0,3.6,71.2
36,4.3,3.0,6.9,83.2
37,5.7,2.0,6.4,84.4
38,8.1,1.0,3.2,55.3
39,6.2,1.0,5.0,73.6
40,7.1,1.0,2.9,60.4
41,7.3,2.0,4.2,70.9
42,5.0,1.0,3.5,72.9
43,5.7,3.0,5.6,82.1
44,6.1,2.0,3.6,66.7
45,7.1,2.0,4.2,69.6
46,5.4,2.0,6.0,94.1
47,6.2,1.0,3.9,63.8
48,5.1,3.0,7.3,98.2
49,6.7,0.0,2.3,44.3
50,5.9,2.0,6.2,78.1
51,6.5,2.0,4.0,70.5
52,6.7,2.0,4.0,67.0
53,5.7,2.0,5.4,95.8
54,7.4,2.0,4.7,88.4
55,7.0,1.0,3.9,58.2
56,8.9,0.0,1.0,40.6
57,8.6,2.0,1.6,50.3
58,5.4,3.0,6.0,92.4
59,7.1,1.0,4.7,79.7
60,6.3,2.0,5.9,83.3
61,5.4,3.0,7.7,85.4
62,5.8,2.0,5.8,75.5
63,8.0,1.0,1.4,33.7
64,8.0,2.0,3.2,53.2
65,8.2,3.0,5.1,78.3
66,7.0,2.0,2.6,63.0
67,5.5,4.0,7.8,86.8
68,4.9,3.0,7.6,93.9
69,6.2,3.0,6.9,98.1
70,7.2,2.0,4.3,71.1
71,6.4,2.0,6.9,86.5
72,5.8,1.0,1.9,57.0
73,6.9,2.0,3.2,65.6
74,6.1,1.0,4.2,69.9
75,5.8,2.0,6.2,80.2
76,6.2,2.0,4.4,68.3
77,7.5,1.0,2.0,54.6
78,7.8,1.0,3.4,60.5
79,8.9,2.0,3.3,71.1
